GENERATOR;TEST-LOSS;TEST-ACCURACY;# OUT OF 15 NIST TESTS PASSED;monobit;frequency_within_block;runs;longest_run_ones_in_a_block;binary_matrix_rank;dft;non_overlapping_template_matching;overlapping_template_matching;maurers_universal;linear_complexity;serial;approximate_entropy;cumulative_sums;random_excursion;random_excursion_variant
lfsr_(17-14)_ext;0.0035;0.9990;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(17-14)_int;0.0023;0.9997;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(19-18-17-14)_int;0.6977;0.5056;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(23-18)_ext;0.0081;0.9971;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(23-18)_ext_out(17-9-and-0-xor);0.6661;0.5924;14;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
lfsr_(23-18)_int_out(22-11-9-3-0-xor-xor-xor-xor);0.0063;0.9985;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(23-18)_int_out(22-0-xor);0.0036;0.9990;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(16-7-5-4-3-2)_ext;0.6956;0.4948;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
simple_e0_v1;0.6944;0.5145;8;0;0;0;1;1;0;1;1;1;1;0;0;0;1;1
e0;0.6952;0.5104;7;0;0;0;1;1;1;1;0;1;1;0;0;0;1;0
simple_a51_v1;0.6948;0.4998;14;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
simple_a51_v2;0.0038;0.9996;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
simple_a51_v3;0.2207;0.9374;7;0;1;0;0;1;0;1;0;1;1;0;0;0;1;1
simple_a51_v4;0.6972;0.4985;8;0;0;0;1;1;0;1;1;1;1;0;0;0;1;1
a51;0.6937;0.5017;14;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
simple_grain_v1;0.6933;0.5039;10;1;1;0;1;1;0;1;1;1;1;0;0;1;1;0
simple_grain_v2;0.4570;0.7819;7;0;1;0;0;1;0;1;0;1;1;0;0;0;1;1
simple_grain_v3;0.6987;0.5397;5;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1
simple_grain_v4;0.0638;0.9786;4;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0
grain_sequence_no_mask;0.6937;0.5040;14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
