GENERATOR;TEST-LOSS;TEST-ACCURACY;# OUT OF 15 NIST TESTS PASSED;monobit;frequency_within_block;runs;longest_run_ones_in_a_block;binary_matrix_rank;dft;non_overlapping_template_matching;overlapping_template_matching;maurers_universal;linear_complexity;serial;approximate_entropy;cumulative_sums;random_excursion;random_excursion_variant
lfsr_(15-14)_ext;0.0014;0.9996;7;1;1;1;0;0;0;1;0;1;0;0;0;1;0;1
lfsr_(15-14)_int;0.0064;0.9978;7;1;1;1;0;0;0;1;0;1;0;0;0;1;0;1
lfsr_(16-15-13-4)_ext;0.6949;0.5031;11;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1
lfsr_(16-15-13-4)_int;0.6958;0.4829;11;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1
lfsr_(17-14)_ext;0.0035;0.9990;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(17-14)_int;0.0023;0.9997;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(18-11)_ext;0.0039;0.9991;10;1;1;1;0;0;0;1;0;1;0;1;1;1;1;1
lfsr_(18-11)_int;0.0032;0.9992;11;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1
lfsr_(19-18-17-14)_ext;0.6992;0.5021;11;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0
lfsr_(19-18-17-14)_int;0.6977;0.5056;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(20-17)_ext;0.0035;0.9992;10;1;1;1;0;0;0;1;1;1;0;1;1;1;0;1
lfsr_(20-17)_int;0.0039;0.9991;11;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0
lfsr_(21-19)_ext;0.0042;0.9985;11;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1
lfsr_(21-19)_int;0.0046;0.9988;10;1;1;1;0;0;0;1;0;1;0;1;1;1;1;1
lfsr_(22-21)_ext;0.0042;0.9988;11;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1
lfsr_(22-21)_int;0.0048;0.9985;10;1;0;1;1;0;0;1;0;1;0;1;1;1;1;1
lfsr_(23-18)_ext;0.0081;0.9971;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(23-18)_int;0.0055;0.9983;10;1;1;1;0;0;0;1;1;1;0;1;1;1;1;0
lfsr_(23-18)_ext_out(22-17-xor-9-xor-0-xor);0.0052;0.9989;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(23-18)_ext_out(17-9-and-0-xor);0.6661;0.5924;14;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
lfsr_(23-18)_ext_out(22-11-9-3-0-xor-xor-xor-xor);0.0112;0.9960;11;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1
lfsr_(23-18)_ext_out(22-0-xor);0.0039;0.9989;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(23-18)_ext_out(22-0-and);0.0209;0.9935;3;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
lfsr_(23-18)_int_out(22-17-xor-9-xor-0-xor);0.0032;0.9991;11;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1
lfsr_(23-18)_int_out(17-9-and-0-xor);0.6596;0.5949;13;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0
lfsr_(23-18)_int_out(22-11-9-3-0-xor-xor-xor-xor);0.0063;0.9985;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(23-18)_int_out(22-0-xor);0.0036;0.9990;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(23-18)_int_out(22-0-and);0.0160;0.9954;3;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
lfsr_(24-23-22-17)_ext;0.6983;0.5012;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(24-23-22-17)_int;0.7018;0.4969;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(24-23-22-17)_ext_out(22-17-xor-9-xor-0-xor);0.7000;0.5013;11;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0
lfsr_(24-23-22-17)_ext_out(17-9-and-0-xor);0.7008;0.5013;13;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1
lfsr_(24-23-22-17)_ext_out(22-11-9-3-0-xor-xor-xor-xor);0.6985;0.5057;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(24-23-22-17)_ext_out(22-0-xor);0.6973;0.5042;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(24-23-22-17)_ext_out(22-0-and);0.0538;0.9827;3;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
lfsr_(24-23-22-17)_int_out(22-17-xor-9-xor-0-xor);0.7003;0.4969;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(24-23-22-17)_int_out(17-9-and-0-xor);0.4125;0.8102;13;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1
lfsr_(24-23-22-17)_int_out(22-11-9-3-0-xor-xor-xor-xor);0.7047;0.5019;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(24-23-22-17)_int_out(22-0-xor);0.6984;0.5000;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(24-23-22-17)_int_out(22-0-and);0.0584;0.9810;4;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0
