GENERATOR;TEST-LOSS;TEST-ACCURACY;# OUT OF 15 NIST TESTS PASSED;monobit;frequency_within_block;runs;longest_run_ones_in_a_block;binary_matrix_rank;dft;non_overlapping_template_matching;overlapping_template_matching;maurers_universal;linear_complexity;serial;approximate_entropy;cumulative_sums;random_excursion;random_excursion_variant
lfsr_(14-10-9-8-7-6)_ext;0.6468;0.5430;9;1;0;1;0;0;0;0;1;1;0;1;1;1;1;1
lfsr_(14-8-5-4-3-1)_ext;0.6957;0.4845;8;1;0;1;0;0;0;1;0;1;0;1;1;1;0;1
lfsr_(14-10-7-6-5-4-3-1)_ext;0.6975;0.4984;8;1;0;1;1;0;0;0;0;1;0;1;1;1;0;1
lfsr_(16-7-5-4-3-2)_ext;0.6956;0.4948;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(16-11-10-7-3-2)_ext;0.6954;0.4940;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(16-9-8-4-3-2)_ext;0.6955;0.4829;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(19-10-9-6-4-3-2-1)_ext;0.6949;0.4947;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(19-10-9-8-7-4)_ext;0.6983;0.4904;11;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1
lfsr_(19-9-6-4)_ext;0.6963;0.4983;11;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1
lfsr_(23-9-7-5-4-3)_ext;0.6968;0.5062;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(23-8-6-5-2-1)_ext;0.6958;0.4968;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(23-10-9-8-7-6-5-4-3-1)_ext;0.7006;0.4960;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(27-10-7-4-3-1)_ext;0.6995;0.4983;12;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
lfsr_(27-11-7-5-2-1)_ext;0.7000;0.4934;13;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1
lfsr_(27-8-6-4-3-2)_ext;0.7037;0.4969;13;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1
